title,company,location,link
[전문연구요원] 빅데이터 엔지니어(신입/경력),웹젠,성남 분당구,https://kr.indeed.com/rc/clk?jk=3259e28d21f56288&fccid=6e2a9dddd86c4648&vjs=3
카카오 데이터의 가치를 발굴할 데이터 분석가 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=2b2dcd3ffe3d53df&fccid=32b9af632cf3b9f9&vjs=3
[고경력자의 경우 시간단축] 홈페이지 개발 및 관리 웹프로그래머,규,대한민국,https://kr.indeed.com/rc/clk?jk=44b27e9dde454c6a&fccid=dd616958bd9ddc12&vjs=3
2021 Global Data Internship - Seoul (Korean Speaker),Bloomberg,서울,https://kr.indeed.com/rc/clk?jk=18f62dc644a89e0c&fccid=f770da67b3b51c62&vjs=3
PhD Scholarships in Membrane Water Treatment Technology,Kyungpook National University,대한민국,https://kr.indeed.com/rc/clk?jk=e6c30cd499a8ee80&fccid=942604fe3b8b6d1a&vjs=3
데이터 마케팅(분석/모델링) 전문가,LG전자,서울 영등포구,https://kr.indeed.com/rc/clk?jk=9edef5cb1029c4c1&fccid=9702ca14c9a11940&vjs=3
사내 및 서비스 보안 담당자 (경력),네오위즈,대한민국,https://kr.indeed.com/rc/clk?jk=cd40cf786e32f325&fccid=a4f571f3a628be3e&vjs=3
[웹젠] 보안솔루션 운영(경력),웹젠,성남 분당구,https://kr.indeed.com/rc/clk?jk=c74b8591c7e59774&fccid=6e2a9dddd86c4648&vjs=3
"Software Engineer, Machine Learning",Google,서울,https://kr.indeed.com/rc/clk?jk=4f319862856fe9c1&fccid=a5b4499d9e91a5c6&vjs=3
2020 Customs & Foreign Trade Specialist,비테스코테크놀로지스코리아,경기도 이천,https://kr.indeed.com/rc/clk?jk=7e4a30dc8d2bc1cf&fccid=eb73066e7305c8e3&vjs=3
"데이터 분석 및 컨설팅 분야 (Python, SAS, 빅데이터) 경력직",한국정보기술단,과천 과천시,https://kr.indeed.com/rc/clk?jk=9fe4755841bec8ce&fccid=99925e8e7b9604cc&vjs=3
2021-2회 인지 및 사회성 연구단 선임연구원,기초과학연구원,대전,https://kr.indeed.com/rc/clk?jk=e2af029a81ae7506&fccid=0eaa5e1b695cdcd1&vjs=3
자동차업무팀 자동차상품파트(신입) Associate 채용,AXA손해보험,서울 갈월동,https://kr.indeed.com/rc/clk?jk=6876f9db4384c69b&fccid=755fda02d03902e1&vjs=3
대기업 CTO AI기술 확보 알고리즘 (박사급),에이치알 코리아,대한민국,https://kr.indeed.com/rc/clk?jk=e4a0131f20aea2a8&fccid=fa0c631983acf2f6&vjs=3
Lead Product Engineer - Liberate,Cadence Design Systems,경기도,https://kr.indeed.com/rc/clk?jk=ffac42e32db26233&fccid=391006290e845887&vjs=3
"Field Applications Engineer, Audio",Dolby,서울,https://kr.indeed.com/rc/clk?jk=7cb5c3076d1701db&fccid=5dd80d97ea739284&vjs=3
SW Engineer for R&D Extension Korea,Applied Materials Inc.,경기도 화성,https://kr.indeed.com/rc/clk?jk=fb3395b4ba6b4f61&fccid=6c6f37e2a6cb4c55&vjs=3
Field Data Scientist,Success Korea,경기도,https://kr.indeed.com/rc/clk?jk=2892c67308e87f01&fccid=d29ddc820620b02e&vjs=3
NAVER IDC 서버 운영/관리(춘천),NIT Service,춘천 동면,https://kr.indeed.com/rc/clk?jk=de567c4b6b588c4c&fccid=f85375bceacb7147&vjs=3
[Janssen] Data Scientist,Johnson & Johnson Family of Companies,서울,https://kr.indeed.com/rc/clk?jk=4bd70fb8a220d90d&fccid=0bed8e17bc113980&vjs=3
(광주취업맛집1위)2021년도 국비 기술교육생,대한상공회의소 광주인력개발원,광주 광산구,https://kr.indeed.com/rc/clk?jk=5c7ce2a8bacecf7d&fccid=4746daf5fe536ea2&vjs=3
qe 소프트웨어 엔지니어,에이치알 코리아,대한민국,https://kr.indeed.com/rc/clk?jk=85687b250386c4be&fccid=fa0c631983acf2f6&vjs=3
Deep Learning R&D Engineer,Intel,서울,https://kr.indeed.com/rc/clk?jk=e4f1914b34f03ca2&fccid=f1374be6a45f4b8a&vjs=3
[카카오커머스] 기술직군,카카오커머스,성남 분당구,https://kr.indeed.com/rc/clk?jk=52f8fb3f7e662c5d&fccid=b1f5de6cae96f6c2&vjs=3
보안,NHN,성남 판교역,https://kr.indeed.com/rc/clk?jk=810816c790317a08&fccid=a72ebaf825acf7af&vjs=3
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/rc/clk?jk=55a19c92c845685e&fccid=74d05cee5b52f133&vjs=3
빅데이터인공지능학과 석사과정 / 등록금 2년 전액무료 · 연구활동비 지급 · 정규직 취업처 연계,남서울대학교,천안 서북구,https://kr.indeed.com/rc/clk?jk=2b7e1a373af1d5ab&fccid=deac8b8ab125ff0c&vjs=3
Customer Operations Engineering Manager,Success Korea,대한민국,https://kr.indeed.com/rc/clk?jk=8a15326f80e07c08&fccid=d29ddc820620b02e&vjs=3
지능형자동차부품진흥원 인력,지능형자동차부품진흥원,대구 달성군,https://kr.indeed.com/rc/clk?jk=fd0194167a01fed0&fccid=e754c4daa6aa41e0&vjs=3
패시브솔루션본부 퀀트운용팀 경력직,엔에이치아문디자산운용,대한민국,https://kr.indeed.com/rc/clk?jk=692a9a4e6a42c7d6&fccid=e39e5030f94e4712&vjs=3
Consultant - Identity & Security,Microsoft,대한민국,https://kr.indeed.com/rc/clk?jk=f71d35f5dff01c45&fccid=734cb5a01ee60f80&vjs=3
빅데이터·AI기반 산업혁신인재 양성 및 고용,재단법인 부산정보산업진흥원,부산 해운대구,https://kr.indeed.com/rc/clk?jk=7c6f0b59291cedfb&fccid=a2e041c85fb92254&vjs=3
NAVER IDC 서버 운영/관리(평촌/부산),NIT Service,안양 동안구,https://kr.indeed.com/rc/clk?jk=18b288e9021d899f&fccid=f85375bceacb7147&vjs=3
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=eeb9fe1c361f0758&fccid=aba87288e4cc3687&vjs=3
소형전지사업부/기술혁신센터,삼성SDI,충청남도 천안,https://kr.indeed.com/rc/clk?jk=089931931a0474d5&fccid=6c70210beddc1b13&vjs=3
함께 성장할 S/W개발자 모집합니다.,주식회사 유락,전라북도 완주,https://kr.indeed.com/rc/clk?jk=a29697c08fc49a56&fccid=408a68809ccb0dea&vjs=3
11번가 System Engineer 분야,십일번가,서울 중구,https://kr.indeed.com/rc/clk?jk=366b62a28fe525d9&fccid=54911ff2dce6c429&vjs=3
지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원,광주 북구,https://kr.indeed.com/rc/clk?jk=cd2ef993ee5c8d3f&fccid=617504e506359426&vjs=3
21년 전문연구요원 (AI엔지니어),Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=69ab0f58743cb713&fccid=aba87288e4cc3687&vjs=3
신규서비스 프로덕션 - Python django 웹 개발자,후씨,서울 서초구,https://kr.indeed.com/rc/clk?jk=ed956a819995ea40&fccid=6f7ca8b748a731cf&vjs=3
2021년 지역주도형 일자리사업「4차 산업혁명 IT인력 일자리창출 지원」인공지능 솔루션 개발 분야,라젠,광주 서구,https://kr.indeed.com/rc/clk?jk=85ec5ad4632325c2&fccid=120832ec7a44d293&vjs=3
플랫폼쉴드 시스템 개발,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=b2661d357cf26c8f&fccid=aba87288e4cc3687&vjs=3
(주)아이옵스 소프트웨어 개발자 경력직,아이옵스,대전 유성구,https://kr.indeed.com/rc/clk?jk=299810388371b791&fccid=dbcbf1153e0db6f9&vjs=3
엔지니어,키사이트테크놀로지스,서울,https://kr.indeed.com/rc/clk?jk=f0ebe714bb940da2&fccid=c27b3fc1683b97af&vjs=3
Principal Solutions Integration Developer,Nuance,서울,https://kr.indeed.com/rc/clk?jk=0fb5acdbc8a15af9&fccid=70a7f49a5b57c331&vjs=3
홈플랫폼추진단 경력사원,LG유플러스,서울,https://kr.indeed.com/rc/clk?jk=b6a63d1fa841d4ce&fccid=6c9206aa5a609175&vjs=3
2021 Market Data Analyst - Seoul,Bloomberg,서울,https://kr.indeed.com/rc/clk?jk=5b73d7ce16a8338a&fccid=f770da67b3b51c62&vjs=3
데이터 분야 경력,LG CNS,서울,https://kr.indeed.com/rc/clk?jk=010d38b18b07b6bb&fccid=9635ff240e3de5f6&vjs=3
동아대학교 미디어디바이스연구센터 S/W Engineer 연구원,동아대학교 산학협력단,부산 사하구,https://kr.indeed.com/rc/clk?jk=b7f5c346f5420031&fccid=6daac65869191175&vjs=3
추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=07375dc4e800dfa9&fccid=32b9af632cf3b9f9&vjs=3
"여러분들이 찾던 회사, 링크캠퍼스 함께 키워나갈 웹 개발 팀원",링크캠퍼스,광주 동구,https://kr.indeed.com/rc/clk?jk=37e763ffd2d40ec9&fccid=89d494f1287eb583&vjs=3
[진행중]우리은행 빅데이터사업부 전문직(데이터 분석가(ML/DL)) 채용공고,우리은행,서울 회현동,https://kr.indeed.com/rc/clk?jk=0cfd614dbcdb6e6c&fccid=bb52ef09d63c98fb&vjs=3
2019 Military Service Exemption Position Available at the IBS CMCM (Synthetic Organic/Polymer Chemistry OR Theoretical Study of Carbon and Related Materials),울산과학기술원,울산 언양읍,https://kr.indeed.com/rc/clk?jk=8becbf73bbda7c96&fccid=72f7825434b1476e&vjs=3
Software Developer,Korea Trade center,대한민국,https://kr.indeed.com/rc/clk?jk=90a5f45a5c0247e3&fccid=22d9ef944492364c&vjs=3
Modem QA Contractor,聯發科技,경기도 성남,https://kr.indeed.com/rc/clk?jk=bd5ce1a809ec610a&fccid=d545b7e05f2306ac&vjs=3
머신러닝/딥러닝 연구 개발,NHN,성남 판교역,https://kr.indeed.com/rc/clk?jk=7e5d96b07d5edef0&fccid=a72ebaf825acf7af&vjs=3
리서치분야 석사이상 경력직,케이지제로인,대한민국,https://kr.indeed.com/rc/clk?jk=b602108c31558329&fccid=bfdba13fe070a19e&vjs=3
리서치분야 경력직,케이지제로인,대한민국,https://kr.indeed.com/rc/clk?jk=2238a8f7a38080f3&fccid=bfdba13fe070a19e&vjs=3
DGIST 동반진단의료기술융합연구실 계약직 연구원 공개 초빙 공고,대구경북과학기술원,대구 현풍면,https://kr.indeed.com/rc/clk?jk=cb32ed51c4e0c7ad&fccid=a0e87e3780944019&vjs=3
소프트웨어 부문,맥시멈코퍼레이션,경상남도 진주,https://kr.indeed.com/rc/clk?jk=8df5412c2beb197f&fccid=3099ae832a98fd31&vjs=3
Junior Quant Trader,Byzantine Partners,서울,https://kr.indeed.com/rc/clk?jk=25725b3c0e607311&fccid=1dbfd8df05517391&vjs=3
Customer Engineer,Microsoft,서울,https://kr.indeed.com/rc/clk?jk=7d4bc2a107c6669b&fccid=734cb5a01ee60f80&vjs=3
자산운용부 경력직원,신영증권,대한민국,https://kr.indeed.com/rc/clk?jk=035b77ebdace91f1&fccid=08b98c3fea350315&vjs=3
Back-end Engineer (Python),Soomgo,서울 강남구,https://kr.indeed.com/rc/clk?jk=752a4b5d63eac97c&fccid=f9a401b2af6cde91&vjs=3
2021-1회 인지 및 사회성 연구단 연구원 및 박사후연구원,기초과학연구원,대전,https://kr.indeed.com/rc/clk?jk=fbdab97981902888&fccid=0eaa5e1b695cdcd1&vjs=3
Data Analytics SA,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/rc/clk?jk=9a818d9d91db847d&fccid=fe2d21eef233e94a&vjs=3
IT 개발자(백엔드) 경력직,스포츠데이터에볼루션,경기도 파주,https://kr.indeed.com/rc/clk?jk=e15972f6e01cb7dc&fccid=dd616958bd9ddc12&vjs=3
"R&D Engineer, Sr I",Synopsys,서울,https://kr.indeed.com/rc/clk?jk=4a65a5779d9c9e2a&fccid=6ce9eba87609c3e9&vjs=3
eBeam System Engineer for R&D Extension Korea,Applied Materials Inc.,경기도 화성,https://kr.indeed.com/rc/clk?jk=25a21ebfa5410f05&fccid=6c6f37e2a6cb4c55&vjs=3
프론트엔드 개발자,스포카,부산 해운대구,https://kr.indeed.com/rc/clk?jk=b4467fbe39a4f454&fccid=3d02f223a9037178&vjs=3
[L'Oreal Korea] IT Business Analyst,L'Oreal,서울,https://kr.indeed.com/rc/clk?jk=db26147e9223e38a&fccid=ec8a0bd60be9a6f5&vjs=3
[빅데이터플랫폼] 데이터 플랫폼 운영자,한국카카오은행,성남 분당구,https://kr.indeed.com/rc/clk?jk=8eaca3d4cbc13fe1&fccid=aea6a13a3459fdb2&vjs=3
메시지발송 플랫폼 개발자,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=eaee1538d8cc832f&fccid=aba87288e4cc3687&vjs=3
데이터 분석가 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=092d062a6faa7139&fccid=32b9af632cf3b9f9&vjs=3
Data Science 컨설턴트 - 글로벌 컨설팅펌,에스에프인촌,서울 서초구,https://kr.indeed.com/rc/clk?jk=f71d1feb0fe5c6b1&fccid=629bf66c8ed71fe3&vjs=3
Senior Solutions Engineer,Confluent,서울,https://kr.indeed.com/rc/clk?jk=6a399a2c059ebbb1&fccid=281afef2f966dcf1&vjs=3
추천 시스템 연구/개발,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=be6c1f03fa566f8e&fccid=32b9af632cf3b9f9&vjs=3
DGIST 제2차 계약직 연구원 채용공고,대구경북과학기술원,대구 현풍면,https://kr.indeed.com/rc/clk?jk=2cfd15907402c5cc&fccid=a0e87e3780944019&vjs=3
[단기계약직] 인공지능 기술 개발을 위한 언어 데이터 구축자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/rc/clk?jk=9ccd0db79695e27e&fccid=a1e4e21b1f33cf40&vjs=3
Python Programmer,Mofac,서울 서초구,https://kr.indeed.com/rc/clk?jk=df21e3bb5d773616&fccid=6cddb172d498d15c&vjs=3
[기술기획] 클라우드 플랫폼 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/rc/clk?jk=2372de2fcdcdd088&fccid=aea6a13a3459fdb2&vjs=3
"데이터 가치를 함께 발굴하실 머신러닝, 통계 모델링 전문가 모집",카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=d1e75364ef505c68&fccid=32b9af632cf3b9f9&vjs=3
전기전자컴퓨터공학부(바이오컴퓨팅연구실) 위촉연구원,광주과학기술원,광주 북구,https://kr.indeed.com/rc/clk?jk=98c2229e57d4ee1f&fccid=617504e506359426&vjs=3
Technical Specialist,Microsoft,서울,https://kr.indeed.com/rc/clk?jk=f4c784e2cb1ecbbb&fccid=734cb5a01ee60f80&vjs=3
[Search] Knowledge Base Applications (신입),네이버,서울,https://kr.indeed.com/rc/clk?jk=23dfc13905f7fcc0&fccid=412ff571bced2587&vjs=3
"Python, 데이터분석 외 경력 정규직",에임즈인터내셔널코리아,서울 강남구,https://kr.indeed.com/rc/clk?jk=1a2885a205ae2400&fccid=0c6e17e1bea58b72&vjs=3
(주)테라젠바이오 데이터과제팀 계약직,테라젠바이오,수원 영통구,https://kr.indeed.com/rc/clk?jk=b4c6146c52b4dc2b&fccid=b3f542232194f2f7&vjs=3
cctv영상처리 s/w 개발자,삼성g2b,부산 부산진구,https://kr.indeed.com/rc/clk?jk=da4542ce5a1010ab&fccid=d4cd79d92bee4806&vjs=3
Linux/Python/PHP/MySQL/백엔드 정규직 경력,일루미나리안,용인 보정동,https://kr.indeed.com/rc/clk?jk=04d685fc70b67d4e&fccid=f29c2f5a0f8ffa9d&vjs=3
MongoDB Engineer 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=2695294aea6dc3b6&fccid=32b9af632cf3b9f9&vjs=3
[클라우드서비스] 네트워크 개발자 영입,카카오엔터프라이즈,성남 분당구,https://kr.indeed.com/rc/clk?jk=9248ca355efc13d2&fccid=e19aa33fc391b310&vjs=3
추천 통계분석/데이터사이언티스트,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=bfe0f5ac4f32ec89&fccid=32b9af632cf3b9f9&vjs=3
데이터 엔지니어 및 사이언티스트,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=d8a8869ab092f731&fccid=32b9af632cf3b9f9&vjs=3
금융IT(UI/UX개발) 인재,에셋플러스자산운용,대한민국,https://kr.indeed.com/rc/clk?jk=04751aa927de1b32&fccid=8ab063b7c8c26513&vjs=3
"네모파트너즈비에이 데이터 분석가 신입,경력",네모파트너즈비에이,서울 영등포구,https://kr.indeed.com/rc/clk?jk=3fbbb0a082dd1ff9&fccid=b389256e3a4fa634&vjs=3
기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/rc/clk?jk=71c47ac87bb4087e&fccid=230e414668234579&vjs=3
데이터 사이언티스트 모집,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=0064deb5fa9cbce0&fccid=32b9af632cf3b9f9&vjs=3
DATA ENGINEER,Cobblestone Energy,서울,https://kr.indeed.com/rc/clk?jk=ed3cb0c04f6d8345&fccid=150dba0a339b7e40&vjs=3
DGIST 동반진단의료기술융합연구실 계약직 연구원 공개 채용 공고,대구경북과학기술원,대구 현풍면,https://kr.indeed.com/rc/clk?jk=776ccceeaf6fe02e&fccid=a0e87e3780944019&vjs=3
Machine Learning Research - Speech Recognition,Qualcomm Korea YH,서울,https://kr.indeed.com/rc/clk?jk=19b7736d5aa3f7e5&fccid=fc9fc27463afa4d7&vjs=3
iOS 개발자,스포카,부산 해운대구,https://kr.indeed.com/rc/clk?jk=66974b016ef65549&fccid=3d02f223a9037178&vjs=3
AI 분석 개발 경력자,토니서치,성남 분당구,https://kr.indeed.com/rc/clk?jk=8ee4ab813459185c&fccid=36e8d3338c90d8ea&vjs=3
백엔드 엔지니어 (전문연구요원 가능),버즈니,서울,https://kr.indeed.com/rc/clk?jk=cea8db2153898382&fccid=a72d6e5a17d52b40&vjs=3
게임이상탐지 분석/개발,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=4ec305f59ce64060&fccid=aba87288e4cc3687&vjs=3
NAVER IDC 서버 운영/관리(가산),NIT Service,서울 가산동,https://kr.indeed.com/rc/clk?jk=70fccff4d30cb6bf&fccid=f85375bceacb7147&vjs=3
Healthcare Real World Data Analyst 담당자,IQVIA,서울,https://kr.indeed.com/rc/clk?jk=a746de9c7a6168ef&fccid=6b7a1dfe07e7f037&vjs=3
[라젠][청년디지털일자리지원사업] 빅데이터 수집 및 정보처리,라젠,광주 화정동,https://kr.indeed.com/rc/clk?jk=8291f4cc1fc52912&fccid=120832ec7a44d293&vjs=3
"Technical Solutions Engineer, Wear OS (English, Korean)",Google,서울,https://kr.indeed.com/rc/clk?jk=b966810974ac84da&fccid=a5b4499d9e91a5c6&vjs=3
"인공지능(AI), 머신러닝(ML) 외 신입/경력 정규직",시스메틱,서울 영등포구,https://kr.indeed.com/rc/clk?jk=0b2f8d9e4a9f23fc&fccid=6cc748c560420a2e&vjs=3
(주)넷타겟 연구원 (웹프론트엔드 개발자),넷타겟,대전 유성구,https://kr.indeed.com/rc/clk?jk=0feb2770202a5be1&fccid=276b39459af9d7fa&vjs=3
(주)신세계아이앤씨 AI/클라우드 부문 상시,신세계아이앤씨,서울 중구,https://kr.indeed.com/rc/clk?jk=01296857655fc85f&fccid=7009e9adee12ff99&vjs=3
큐니온 신입 및 경력직 연구원,큐니온,대전 유성구,https://kr.indeed.com/rc/clk?jk=9229c9c7499479a6&fccid=a5efdb3a847df72d&vjs=3
DGIST HumanLAB(인간중심지능형시스템연구실) 연수연구원 채용 공고,대구경북과학기술원,대구 현풍면,https://kr.indeed.com/rc/clk?jk=54ce47c4db974112&fccid=a0e87e3780944019&vjs=3
데이터 분석/처리 플랫폼 개발,NHN,성남 판교역,https://kr.indeed.com/rc/clk?jk=46975ee759c13b8a&fccid=a72ebaf825acf7af&vjs=3
Support Engineer _ Developer Support,Microsoft,서울,https://kr.indeed.com/rc/clk?jk=7449dd28faebd96c&fccid=734cb5a01ee60f80&vjs=3
"[Search] 파파고 머신러닝(자연어처리, 컴퓨터비전) 엔지니어 (신입)",네이버,서울,https://kr.indeed.com/rc/clk?jk=c6f624615d1e3da4&fccid=412ff571bced2587&vjs=3
IT컨설턴트 채용,한화그룹,서울,https://kr.indeed.com/rc/clk?jk=f79232e664d98e45&fccid=bd0dc1817223394f&vjs=3
"Senior Staff Engineer, FAE Samsung",ams,서울,https://kr.indeed.com/rc/clk?jk=f8fcba2c93fcc52a&fccid=510f6ab73dd59198&vjs=3
MI(Market Intelligence)담당 마케팅 전략 경력사원,LG전자,서울 영등포구,https://kr.indeed.com/rc/clk?jk=54e0d08c99dcf507&fccid=9702ca14c9a11940&vjs=3
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,https://kr.indeed.com/rc/clk?jk=78e99625e5de3c95&fccid=e34932b8232a173b&vjs=3
Sr. Manager for Logistics digital transformation,Thermo Fisher Scientific,서울,https://kr.indeed.com/rc/clk?jk=18ed6f92a291d134&fccid=126e3afd205caa95&vjs=3
Datacenter Engineer (강원도 춘천 근무),Oracle,서울,https://kr.indeed.com/rc/clk?jk=e26f899b8accca1a&fccid=cd22d01053af7669&vjs=3
Machine Learning 엔지니어 영입,카카오모빌리티,성남 분당구,https://kr.indeed.com/rc/clk?jk=5163264f93887592&fccid=48cc3743ba47cc6e&vjs=3
DGIST 동반진단의료기술융합연구실 계약직 연구원 채용 공고,대구경북과학기술원,대구 현풍면,https://kr.indeed.com/rc/clk?jk=db55ee61f98e6816&fccid=a0e87e3780944019&vjs=3
Software Technical Consulting Engineer Intern,Intel,서울,https://kr.indeed.com/rc/clk?jk=1042787aa4b5c20d&fccid=f1374be6a45f4b8a&vjs=3
[취업연계 무료교육] 차세대 스마트공장 현장 엔지니어 전문가 양성과정 수강생,한국산업기술협회,서울 금천구,https://kr.indeed.com/rc/clk?jk=5c88acd09f153fc3&fccid=5a55c77140927a52&vjs=3
매칭 데이터분석,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=15edcadd124ad99a&fccid=aba87288e4cc3687&vjs=3
머신러닝 개발,Nexon,성남 분당구,https://kr.indeed.com/rc/clk?jk=a1d687cd59776360&fccid=aba87288e4cc3687&vjs=3
"MVP 개발 엔지니어(서버, 웹프론트) (정규직, 계약직, 프리랜서)",더테스터,대전 중구,https://kr.indeed.com/rc/clk?jk=1748baa27965fdbf&fccid=948325a69d70601e&vjs=3
Korea ODP Cloud Engineer Customer Experience,Oracle,대한민국,https://kr.indeed.com/rc/clk?jk=d90a0666c61d6651&fccid=cd22d01053af7669&vjs=3
"금융 데이터 분석 엔진, 로보어드바이저 개발자",에스비씨엔,서울 영등포구,https://kr.indeed.com/rc/clk?jk=649ccf047c868778&fccid=7c743c071619900d&vjs=3
FPGA 플랫폼 엔지니어 (딥러닝 하드웨어 프로세서 개발),딥엑스,성남 분당구,https://kr.indeed.com/rc/clk?jk=e5448ffc7d6ecf02&fccid=e34932b8232a173b&vjs=3
